GEOGRAPHUS BAVARUS	<GEOGRAFO BAVARESE>	Descriptio civitatum ad septentrionalem plagam Danubii
GERALDINUS, ALEXANDER	<GERALDINI, ALESSANDRO>	Itinerarium ad regiones sub aequinoctiali plaga constitutas
GILO PARISIENSIS	<GILLES DI PARIGI>	Historia gestorum viae nostri temporis Ierosolymitanae
GIRALDUS CAMBRENSIS	<GIRALDO CAMBRENSE; GIRALDO DI BARRI; GIRALDO DEL GALLES>	Descriptio Kambriae
GIRALDUS CAMBRENSIS	<GIRALDO CAMBRENSE; GIRALDO DI BARRI; GIRALDO DEL GALLES>	Itinerarium Kambriae
GIRALDUS CAMBRENSIS	<GIRALDO CAMBRENSE; GIRALDO DI BARRI; GIRALDO DEL GALLES>	Topographia Hiberniae
GRATOROLUS, GUILIELMUS	<GRATAROLI, GUGLIELMO>	De thermis Rhaeticis et Vallis Treschurii agri Bergomatis
GREGORIUS TERRACINENSIS	<GREGORIO DI TERRACINA>	Versus de transitu peregrinorum ad sepulcrum Domini et captione Hierosolymitanae urbis
GRIMOALDI, ANGLICUS	<GRIMOARD, ANGLIC DE>	Descriptio civitatis Bononie
GRIMOALDI, ANGLICUS	<GRIMOARD, ANGLIC DE>	Descriptio Romandiole
GRINEUS, GILBERTUS	<GRINEO, GILBERTO>	Topographia divi Hieronymi Sacelli
GUIBERTUS TORNACENSIS [DE TORNACO]	<GUIBERT DE TOURNAI; GUIBERT VAN DOORNIK>	De locis mundis
GUIBERTUS TORNACENSIS [DE TORNACO]	<GUIBERT DE TOURNAI; GUIBERT VAN DOORNIK>	Hodoeporicon primae profectionis Ludovici Galliae regis in Syriam
GUIDONIS, BERNARDUS	<GUI, BERNARDO; GUIDONI, BERNARDO>	Descriptio Galliarum
GUILIELMUS DE BOLDENSELE	<GUILLAUME DE BOLDENSELE>	Liber de quibusdam ultramarinis partibus et praecipue de Terra Sancta (Hodoeporicon ad Terram sanctam)
GUILLELMUS DE RUBRUC	<GUGLIELMO DI RUBRUCK; WILLEM VAN RUYSBROECK; GUILLAUME DE RUBROUCK>	Itinerarium
GUILLELMUS FILIUS STEPHANI	<WILLIAM FITZSTEPHEN>	Descriptio Londoniae
GUILLELMUS GAUDENSIS [DE GOUDA]	<WILLEM VAN GOUDA>	Peregrinationes totius Terrae Sanctae
GUILLELMUS GRANDIMONTENSIS		Itinerarium reliquiarum sanctarum septem virginum sociarum Sanctae Ursulae e diocesi Coloniensi in ecclesiam Grandimontis
HAYTONUS DE CORYCUS [ANTONIUS CURCHINUS]	<HETʾUM DI CORYCUS; HETOUM DI CORYCUS; AYTON DI CORYCUS>	Flos historiarum terrae Orientis (Liber historiarum partium Orientis)
HENRICUS DE ANTWERPE	<*auctor incertus>	Tractatus de urbe Brandenburg (Tractatus de captione urbis Brandenburgensis)
HENRICUS DE GLACZ		Relatio de mirabilibus orientalium Tatarorum
HENRICUS DE GUNDELFINGEN	<HEINRICH VON GUNDELFINGEN>	Elogium, seu Descriptio, Confoederationis Helveticae
HENRICUS DE GUNDELFINGEN	<HEINRICH VON GUNDELFINGEN>	Topographia urbis Bernensis
HIERONYMUS CORDUBENSIS		Descriptio Cordubae
HILDEBERTUS CENOMANENSIS	<ILDBERTO DI LAVARDIN>	Insula Meldis ave
HUGO DE SANCTO VICTORE	<UGO DI SAN VITTORE>	Descriptio mappe mundi
HUGOLINUS DE MONTE CATINO	<CACCINI, UGOLINO>	De balneorum Italiae proprietatibus ac virtutibus
HUMBERTUS DE DIVIONE [DIVIONENSIS]	<HUMBERT DE DIJON>	Liber de locis et conditionibus Terrae Sanctae et sepulcro
HYACINTHUS PRESBYTER		Itinerarium (Descriptio Terrae Sanctae)
HYVANUS, ANTONIUS SARZANENSIS	<IVANI DA SARZANA, ANTONIO >	De situ urbis Romae
IACOBUS DE VITRIACO	<JACQUES DE VITRY>	Historia Hierosolymitana
IACOBUS DE VORAGINE	<IACOPO DA VARAZZE>	Quadragesimale viatoris
IACOBUS VERONENSIS	<JACOPO DA VERONA>	Liber peregrinationis (Collectio peregrinationum in terras orientales)
IOHANNES DE CERMENATE	<GIOVANNI DA CERMENATE>	Historia de situ Ambrosianae urbis
IOHANNES DE GALONIFONTIBUS	<JEAN DE GAILLEFONTAINE>	Libellus de notitia orbis
